Diagnóstico principal (CIE10MC);Grupo de edad;Intervalos de estancia;Total;;https://datos.gob.es/es/catalogo/ea0010587-altas-hospitalarias-clasificadas-por-intervalos-de-estancia-segun-el-diagnostico-principal-y-el-grupo-de-edad-identificador-api-74882?utm_source=chatgpt.com
0103 Tuberculosis A15-A19, B90;de 95 años y más;Más de 6 meses;..;;
0104 Septicemia A40-A41;total;De 1 a 30 días;61.396;;
0104 Septicemia A40-A41;total;De 31 días a 6 meses;4.113;;
0104 Septicemia A40-A41;total;Más de 6 meses;72;;
0104 Septicemia A40-A41;menores de 1 año;De 1 a 30 días;296;;
0104 Septicemia A40-A41;menores de 1 año;De 31 días a 6 meses;6;;
0104 Septicemia A40-A41;menores de 1 año;Más de 6 meses;..;;
0104 Septicemia A40-A41;de 1 a 4 años;De 1 a 30 días;331;;
0104 Septicemia A40-A41;de 1 a 4 años;De 31 días a 6 meses;13;;
0104 Septicemia A40-A41;de 1 a 4 años;Más de 6 meses;..;;
0104 Septicemia A40-A41;de 5 a 14 años;De 1 a 30 días;277;;
0104 Septicemia A40-A41;de 5 a 14 años;De 31 días a 6 meses;22;;
0104 Septicemia A40-A41;de 5 a 14 años;Más de 6 meses;..;;
0104 Septicemia A40-A41;de 15 a 24 años;De 1 a 30 días;450;;
0104 Septicemia A40-A41;de 15 a 24 años;De 31 días a 6 meses;18;;
0104 Septicemia A40-A41;de 15 a 24 años;Más de 6 meses;1;;
0104 Septicemia A40-A41;de 25 a 34 años;De 1 a 30 días;592;;
0104 Septicemia A40-A41;de 25 a 34 años;De 31 días a 6 meses;39;;
0104 Septicemia A40-A41;de 25 a 34 años;Más de 6 meses;..;;
0104 Septicemia A40-A41;de 35 a 44 años;De 1 a 30 días;1.306;;
0104 Septicemia A40-A41;de 35 a 44 años;De 31 días a 6 meses;127;;
0104 Septicemia A40-A41;de 35 a 44 años;Más de 6 meses;2;;
